#,Ciclo,Tipo Curso,Curso,T,P,L,Departamento Responsable,C
1939,1,ES,INTRODUCCION A LA INGENIERIA DE SISTEMAS,3,2,0,INGENIERIA DE SISTEMAS,4
2347,1,ES,INTRODUCCION A LA PROGRAMACION,0,1,2,INGENIERIA DE SISTEMAS,3
1854,1,OB,DESARROLLO PERSONAL,2,2,0,FILOSOFIA Y ARTE / CIENCIAS PSICOLOGICAS,3
1855,1,OB,DESARROLLO DEL PENSAMIENTO LOGICO MATEMATICO,4,1,0,MATEMATICAS,3
1857,1,OB,LECTURA CRITICA Y REDACCION DE TEXTOS ACADEMICOS,2,2,0,LENGUA NACIONAL Y LITERATURA,3
1863,1,OB,INTRODUCCION AL ANALISIS MATEMATICO,2,4,0,MATEMATICAS,4
1867,1,OP,ESTADISTICA GENERAL,4,2,0,ESTADISTICA,4
1883,1,EL,TALLER DE TECNICAS DE COMUNICACION EFICAZ,0,2,0,COMUNICACION SOCIAL,1
1884,1,EL,TALLER DE MUSICA,2,0,0,FILOSOFIA Y ARTE,1
1908,1,EL,TALLER DE LIDERAZGO Y TRABAJO EN EQUIPO,0,2,0,CIENCIAS PSICOLOGICAS,1
2055,1,EL,TALLER DE DEPORTE,0,2,0,CIENCIAS DE LA EDUCACION,1
2056,1,EL,TALLER DE TEATRO,0,2,0,FILOSOFIA Y ARTE,1
2051,2,ES,PROGRAMACION ORIENTADO A OBJETOS I,0,2,4,INGENIERIA DE SISTEMAS,4
1858,2,OB,SOCIEDAD CULTURA Y ECOLOGIA,4,1,0,CIENCIAS SOCIALES,3
1859,2,OB,CULTURA INVESTIGATIVA Y PENSAMIENTO CRITICO,2,2,0,CIENCIAS DE LA EDUCACION / CIENCIAS SOCIALES,3
1860,2,OB,ETICA CONVIVENCIA HUMANA Y CIUDADANΙΑ,2,2,0,FILOSOFIA Y ARTE,3
1861,2,OB,ANALISIS MATEMATICO,2,4,0,MATEMATICAS,4
1875,2,OP,FISICA GENERAL,4,2,0,FISICA,4
1888,2,EL,TALLER DE MANEJO DE TIC,0,0,2,INGENIERIA DE SISTEMAS,1
1889,2,EL,TALLER DE DANZAS FOLCLORICAS,0,0,2,FILOSOFIA Y ARTE,1
1890,2,EL,TALLER DE DEPORTE,0,2,0,CIENCIAS DE LA EDUCACION,1
2057,2,EL,TALLER DE MUSICA,0,0,2,FILOSOFIA Y ARTE,1
2140,3,ES,ADMINISTRACION GENERAL,2,2,0,ADMINISTRACION,3
2141,3,ES,SISTEMICA,1,2,2,INGENIERIA DE SISTEMAS,3
2142,3,ES,ESTADISTICA APLICADA,2,1,2,ESTADISTICA,3
2143,3,ES,MATEMATICA APLICADA,1,2,2,MATEMATICAS,3
2144,3,ES,FISICA ELECTRONICA,1,2,2,FISICA,3
2145,3,ES,PROGRAMACION ORIENTADA A OBJETOS II,0,2,4,INGENIERIA DE SISTEMAS,4
2146,3,EL,INGENIERIA GRAFICA,1,1,3,INGENIERIA DE SISTEMAS,3
2147,3,EL,SICOLOGIA ORGANIZACIONAL,2,2,0,CIENCIAS PSICOLOGICAS,3
2650,4,ES,ECONOMIA GENERAL,2,2,0,ECONOΜΙΑ,3
2651,4,ES,DISEÑO WEB,1,1,3,INGENIERIA DE SISTEMAS,3
2652,4,ES,PENSAMIENTO DE DISEÑO,1,2,2,INGENIERIA DE SISTEMAS,3
2653,4,ES,GESTIÓN DE PROCESOS,2,1,2,INGENIERIA DE SISTEMAS,3
2654,4,ES,SISTEMAS DIGITALES,1,2,2,INGENIERIA DE SISTEMAS,3
2655,4,ES,ESTRUCTURA DE DATOS ORIENTADO A OBJETOS,2,1,3,INGENIERIA DE SISTEMAS,4
2656,4,EL,COMPUTACIÓN GRÁFICA Y VISUAL,1,1,3,INGENIERIA DE SISTEMAS,3
2657,4,EL,PLATAFORMAS TECNOLÓGICAS,2,0,2,INGENIERIA DE SISTEMAS,3
2689,5,ES,CONTABILIDAD GERENCIAL,1,2,2,CONTABILIDAD Y FINANZAS,3
2690,5,ES,TECNOLOGIAS WEB,1,1,3,INGENIERIA DE SISTEMAS,3
2691,5,ES,INVESTIGACIÓN DE OPERACIONES,2,1,2,INGENIERIA INDUSTRIAL / INGENIERIA DE SISTEMAS,3
2692,5,ES,INGENIERIA DE DATOS I,2,1,3,INGENIERIA DE SISTEMAS,4
2693,5,ES,ARQUITECTURA Y ORGANIZACIÓN DE COMPUTADORAS,1,2,2,INGENIERIA DE SISTEMAS,3
2694,5,ES,SISTEMAS DE INFORMACIÓN,2,2,2,INGENIERIA DE SISTEMAS,4
2695,5,EL,TELEINFORMÁTICA,2,2,1,INGENIERIA DE SISTEMAS,3
2696,5,EL,TRANSFORMACIÓN DIGITAL,0,2,2,INGENIERIA DE SISTEMAS,3
3125,6,ES,FINANZAS CORPORATIVAS,1,2,2,CONTABILIDAD Y FINANZAS,3
3126,6,ES,SISTEMAS INTELIGENTES,2,2,1,INGENIERIA DE SISTEMAS,3
3127,6,ES,INGENIERÍA ECONÓMICA,2,1,2,INGENIERIA INDUSTRIAL,3
3128,6,ES,INGENIERÍA DE DATOS II,2,3,1,INGENIERIA DE SISTEMAS,4
3129,6,ES,SISTEMAS OPERATIVOS,2,2,1,INGENIERIA DE SISTEMAS,3
3130,6,ES,INGENIERÍA DE REQUERIMIENTOS,2,1,2,INGENIERIA DE SISTEMAS,3
3131,6,EL,INGENIERÍA AMBIENTAL,0,2,2,INGENIERIA QUIMICA,3
3132,6,EL,GESTIÓN DEL TALENTO HUMANO,0,2,2,ADMINISTRACION,3
3444,7,ES,CADENA DE SUMINISTRO,0,2,2,INGENIERIA INDUSTRIAL,3
3445,7,ES,GESTIÓN DE SERVICIOS DE TIC,1,2,2,INGENIERIA DE SISTEMAS,3
3446,7,ES,METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA,2,2,0,INGENIERIA DE SISTEMAS,3
3447,7,ES,PLANEAMIENTO ESTRATÉGICO DE LA INFORMACIÓN,2,1,2,INGENIERIA DE SISTEMAS,3
3448,7,ES,REDES Y COMUNICACIONES I,1,1,3,INGENIERIA DE SISTEMAS,3
3449,7,ES,INGENIERÍA DEL SOFTWARE I,2,1,3,INGENIERIA DE SISTEMAS,4
3450,7,EL,ADMINISTRACIÓN DE BASE DE DATOS,1,1,3,INGENIERIA DE SISTEMAS,3
3451,7,EL,NEGOCIOS ELECTRÓNICOS,0,2,2,INGENIERIA DE SISTEMAS,3
4482,8,ES,MARKETING Y MEDIOS SOCIALES,1,2,2,INGENIERIA DE SISTEMAS,3
4483,8,ES,SEGURIDAD DE LA INFORMACIÓN,2,1,2,INGENIERIA DE SISTEMAS,3
4484,8,ES,INTERNET DE LAS COSAS,1,1,3,INGENIERIA DE SISTEMAS,3
4485,8,ES,INTELIGENCIA DE NEGOCIOS,2,1,2,INGENIERIA DE SISTEMAS,3
4486,8,ES,REDES Y COMUNICACIONES II,1,1,3,INGENIERIA DE SISTEMAS,3
4487,8,ES,INGENIERÍA DEL SOFTWARE II,2,1,3,INGENIERIA DE SISTEMAS,4
4488,8,EL,DEONTOLOGÍA Y DERECHO INFORMÁTICO,2,2,0,DERECHO,3
4489,8,EL,ARQUITECTURA BASADA EN MICROSERVICIOS,0,2,2,INGENIERIA DE SISTEMAS,3
4490,9,ES,GESTIÓN DE PROYECTOS DE TIC,1,2,2,INGENIERIA DE SISTEMAS,3
4491,9,ES,AUDITORÍA INFORMÁTICA,2,1,2,INGENIERIA DE SISTEMAS,3
4492,9,ES,TESIS I,2,2,2,INGENIERIA DE SISTEMAS,4
4493,9,ES,ANALÍTICA DE NEGOCIOS,2,1,2,INGENIERIA DE SISTEMAS,3
4494,9,ES,COMPUTACIÓN EN LA NUBE,1,1,3,INGENIERIA DE SISTEMAS,3
4495,9,ES,INGENIERÍA WEB,1,1,3,INGENIERIA DE SISTEMAS,3
4496,9,EL,EMPRENDEDURISMO TECNOLÓGICO,2,0,2,INGENIERIA DE SISTEMAS,3
4497,9,EL,HACKEO ÉTICO,2,0,2,INGENIERIA DE SISTEMAS,3
4498,10,ES,SISTEMAS DE INFORMACIÓN EMPRESARIAL,2,1,3,INGENIERIA DE SISTEMAS,4
4499,10,ES,GOBIERNO DE TIC,1,2,2,INGENIERIA DE SISTEMAS,3
4500,10,ES,TESIS II,2,2,2,INGENIERIA DE SISTEMAS,4
4501,10,ES,ARQUITECTURA EMPRESARIAL,1,2,2,INGENIERIA DE SISTEMAS,3
4502,10,ES,RESPONSABILIDAD SOCIAL CORPORATIVA,2,2,0,INGENIERIA INDUSTRIAL,3
4503,10,ES,APLICACIONES MÓVILES,1,1,3,INGENIERIA DE SISTEMAS,3
4504,10,ES,PRÁCTICAS PRE PROFESIONALES,2,1,3,INGENIERIA DE SISTEMAS,4
